TicketID,CustomerID,Market,Region,OpenDate,CloseDate,IssueType,Resolution,Resolved,CSAT
TKT-QOO0KBAE,CUST-021869,EU,Germany,17-03-2025,,Network,Resolved,No,4
TKT-LQHCKPKX,CUST-026525,APAC,India,13-02-2024,08-03-2024,Network,Plan Adjusted,Yes,4
TKT-BRX5NUOE,CUST-001537,APAC,Japan,15-01-2024,28-01-2024,Billing,Resolved,Yes,4
TKT-V3B5H4S6,CUST-035345,EU,Spain,01-02-2025,,Network,Resolved,No,5
TKT-J3L23JT5,CUST-008164,EU,UK,25-10-2024,13-11-2024,Plan Change,Refund Issued,Yes,1
TKT-YTJWVA7L,CUST-016884,NA,Canada-West,02-02-2024,,Billing,Resolved,No,4
TKT-67XVYYIE,CUST-003530,EU,France,05-09-2023,17-09-2023,Plan Change,Escalated,Yes,4
TKT-HQZQNQ0F,CUST-002348,EU,Italy,15-10-2022,31-10-2022,Device,Resolved,Yes,3
TKT-Z8U090W1,CUST-039483,APAC,India,18-04-2025,24-04-2025,International,Technician Visit,Yes,1
TKT-A8IO9UF6,CUST-001565,LATAM,Colombia,30-01-2022,,Network,Resolved,No,5
TKT-OG1508IU,CUST-036474,NA,USA-East,05-04-2025,,Other,Resolved,No,2
TKT-DB8QJPZW,CUST-011212,NA,USA-West,09-07-2025,10-07-2025,Plan Change,Escalated,Yes,5
TKT-SQG3T97H,CUST-009995,APAC,Australia,21-11-2024,18-12-2024,Network,Technician Visit,Yes,1
TKT-B801E91H,CUST-009721,LATAM,Colombia,02-03-2025,09-03-2025,Network,Resolved,Yes,4
TKT-2MC2SX5C,CUST-012034,NA,USA-East,27-06-2022,04-07-2022,Billing,Resolved,Yes,5
TKT-YM6Y0R55,CUST-004786,EU,France,19-01-2022,02-02-2022,Plan Change,Technician Visit,Yes,5
TKT-QZLO03SO,CUST-018713,MEA,UAE,16-01-2024,23-01-2024,Billing,Resolved,Yes,4
TKT-DNPE95B4,CUST-030426,NA,Canada-East,06-11-2024,15-11-2024,Network,Resolved,Yes,1
TKT-TA10M5QO,CUST-029200,NA,USA-East,22-10-2023,04-11-2023,Device,Resolved,Yes,2
TKT-848ZIZI4,CUST-010030,NA,USA-West,11-12-2024,15-12-2024,Roaming,Resolved,Yes,5
TKT-N2PN18TI,CUST-033561,NA,Canada-East,23-03-2022,29-03-2022,Other,Resolved,Yes,5
TKT-GNX2FNB5,CUST-021570,LATAM,Colombia,18-11-2024,,Billing,Resolved,No,4
TKT-ZN0HAMXM,CUST-031361,MEA,Saudi Arabia,27-11-2024,07-12-2024,Device,Plan Adjusted,Yes,5
TKT-ZSGNLA03,CUST-031630,NA,USA-West,06-09-2024,02-10-2024,Network,Resolved,Yes,3
TKT-ASQOKP6P,CUST-013651,EU,France,02-05-2022,25-05-2022,Billing,Resolved,Yes,5
TKT-X1APMASJ,CUST-031069,EU,Germany,17-02-2024,,Other,Resolved,No,5
TKT-9KNOO69I,CUST-033884,APAC,India,19-03-2023,20-03-2023,Device,Resolved,Yes,1
TKT-F2A1E40E,CUST-038973,LATAM,Colombia,16-02-2023,02-03-2023,Device,Resolved,Yes,4
TKT-HEM7OU3A,CUST-019833,NA,USA-East,12-08-2024,08-09-2024,Billing,Technician Visit,Yes,1
TKT-IXZJ2J87,CUST-039908,EU,Italy,01-05-2025,26-05-2025,International,Escalated,Yes,3
TKT-XEUM1609,CUST-024458,EU,Spain,24-02-2024,22-03-2024,Plan Change,Resolved,Yes,5
TKT-JGL03XK0,CUST-038419,EU,UK,30-03-2023,22-04-2023,Billing,Plan Adjusted,Yes,4
TKT-9GOTDNNZ,CUST-018652,APAC,Australia,23-11-2024,,Billing,Resolved,No,5
TKT-OIL75N8U,CUST-015699,NA,USA-West,24-06-2025,26-06-2025,International,Resolved,Yes,4
TKT-PRDNXY9L,CUST-020754,NA,Canada-West,16-01-2025,10-02-2025,Plan Change,Escalated,Yes,4
TKT-R3J55VY8,CUST-005763,MEA,Egypt,11-05-2025,,Billing,Resolved,No,4
TKT-VOOSKMNQ,CUST-023972,NA,USA-West,20-11-2024,27-11-2024,International,Technician Visit,Yes,4
TKT-QU06DMHX,CUST-018169,APAC,India,25-04-2025,12-05-2025,International,Resolved,Yes,5
TKT-W0ZA24QL,CUST-007243,APAC,India,04-10-2024,30-10-2024,Network,Resolved,Yes,4
TKT-6CH0QYU5,CUST-016831,NA,USA-West,03-06-2023,,Network,Resolved,No,5
TKT-0FPC9LBX,CUST-036335,APAC,India,28-02-2024,29-02-2024,Network,Technician Visit,Yes,5
TKT-0BY8PNIM,CUST-004177,NA,Canada-East,27-03-2022,21-04-2022,Network,Resolved,Yes,4
TKT-0NZUWZAE,CUST-025693,MEA,South Africa,20-09-2022,,Network,Resolved,No,4
TKT-4Q1GMD7L,CUST-024812,NA,Canada-East,11-05-2025,27-05-2025,Network,Resolved,Yes,4
TKT-KCC5M8E7,CUST-016806,MEA,UAE,07-11-2023,04-12-2023,Network,Technician Visit,Yes,5
TKT-HCGSO78T,CUST-028640,APAC,India,02-12-2024,15-12-2024,Value Added Services,Resolved,Yes,3
TKT-0Q3S135N,CUST-019386,LATAM,Brazil,24-05-2023,04-06-2023,Billing,Resolved,Yes,1
TKT-MBKLANKW,CUST-032245,APAC,Australia,09-07-2025,31-07-2025,Network,Refund Issued,Yes,5
TKT-I76XZXZP,CUST-009431,LATAM,Colombia,22-11-2022,03-12-2022,Network,Resolved,Yes,5
TKT-QTVVP0P8,CUST-006372,EU,Germany,14-11-2023,30-11-2023,Network,Resolved,Yes,3
TKT-5UUJMJWL,CUST-034518,EU,Italy,03-11-2024,01-12-2024,Other,Refund Issued,Yes,3
TKT-YY9KPP3L,CUST-034363,APAC,Singapore,19-10-2024,25-10-2024,Billing,Refund Issued,Yes,4
TKT-7F5X405J,CUST-038477,APAC,India,06-07-2024,02-08-2024,Billing,Resolved,Yes,1
TKT-OUJBJ0I3,CUST-027273,MEA,Kenya,17-11-2024,22-11-2024,Network,Resolved,Yes,3
TKT-DCXR9H9N,CUST-028491,MEA,Kenya,02-08-2022,11-08-2022,Network,Plan Adjusted,Yes,5
TKT-LRM13MA7,CUST-023177,NA,Canada-East,13-11-2023,21-11-2023,Network,Resolved,Yes,4
TKT-GLHG7I5U,CUST-031376,EU,Italy,16-03-2024,,Billing,Resolved,No,1
TKT-QIG81SQR,CUST-012476,EU,UK,01-12-2023,02-12-2023,Value Added Services,Resolved,Yes,3
TKT-QZJRMYCA,CUST-019961,NA,USA-East,08-08-2024,11-08-2024,Plan Change,Resolved,Yes,4
TKT-3I4ZC3EI,CUST-029291,APAC,Australia,09-02-2025,18-02-2025,Plan Change,Technician Visit,Yes,3
TKT-90OUQ2VP,CUST-031519,EU,Italy,30-03-2024,10-04-2024,Network,Resolved,Yes,5
TKT-OFXFM54U,CUST-029005,NA,Canada-West,10-10-2023,25-10-2023,Value Added Services,Plan Adjusted,Yes,3
TKT-GRVWD3CH,CUST-019966,APAC,South Korea,12-05-2022,14-05-2022,Billing,Escalated,Yes,5
TKT-1F8J1J9J,CUST-039137,LATAM,Brazil,22-03-2025,05-04-2025,Value Added Services,Resolved,Yes,3
TKT-K364CG8U,CUST-024414,NA,USA-West,13-10-2022,06-11-2022,Plan Change,Resolved,Yes,5
TKT-5JM91H5D,CUST-031292,LATAM,Chile,21-03-2023,18-04-2023,Billing,Resolved,Yes,3
TKT-4FM0SKIU,CUST-020387,MEA,Saudi Arabia,27-12-2023,07-01-2024,Network,Technician Visit,Yes,5
TKT-LLB6EOIW,CUST-006666,NA,Canada-East,06-12-2022,17-12-2022,Device,Resolved,Yes,4
TKT-X0KXQX41,CUST-031985,LATAM,Chile,27-09-2024,,Billing,Refund Issued,No,5
TKT-9O5I3DYQ,CUST-016414,LATAM,Chile,23-04-2022,20-05-2022,Roaming,Resolved,Yes,4
TKT-2RV4F8WC,CUST-028185,APAC,Japan,20-10-2024,28-10-2024,Network,Resolved,Yes,5
TKT-YCAPHKFA,CUST-004250,MEA,Kenya,20-05-2024,,Network,Resolved,No,5
TKT-L6ZJOD6V,CUST-026292,APAC,Singapore,07-12-2023,16-12-2023,Device,Resolved,Yes,4
TKT-FCWEP7BR,CUST-031762,MEA,Saudi Arabia,04-05-2023,20-05-2023,Billing,Resolved,Yes,5
TKT-RNY9PS0V,CUST-034564,NA,USA-West,05-10-2024,16-10-2024,Network,Plan Adjusted,Yes,5
TKT-22KE4K6M,CUST-027695,EU,Italy,14-11-2024,03-12-2024,Billing,Technician Visit,Yes,1
TKT-E4KZU24X,CUST-004344,LATAM,Chile,27-03-2024,27-03-2024,Billing,Resolved,Yes,2
TKT-LJ0VL7KR,CUST-021383,APAC,Japan,31-03-2023,24-04-2023,Network,Resolved,Yes,3
TKT-7CIEVSO8,CUST-005588,EU,UK,29-01-2025,11-02-2025,Network,Plan Adjusted,Yes,2
TKT-J229FDA2,CUST-013388,APAC,Australia,19-08-2022,23-08-2022,Network,Escalated,Yes,3
TKT-BQBBY6CL,CUST-023858,MEA,Saudi Arabia,07-08-2023,12-08-2023,Device,Resolved,Yes,5
TKT-YNS4AFCU,CUST-027655,APAC,Singapore,18-10-2022,,Value Added Services,Resolved,No,4
TKT-9X8MD7PT,CUST-031104,MEA,South Africa,05-05-2022,06-05-2022,Plan Change,No Issue Found,Yes,5
TKT-7LJ6SX4T,CUST-015266,APAC,South Korea,06-11-2024,13-11-2024,Network,Resolved,Yes,4
TKT-S0DS8GGV,CUST-029206,NA,Canada-East,18-08-2022,20-08-2022,Plan Change,Refund Issued,Yes,3
TKT-GETBBCX7,CUST-002324,EU,Spain,30-12-2024,09-01-2025,Roaming,Technician Visit,Yes,5
TKT-WYPP6F35,CUST-037044,LATAM,Argentina,11-01-2022,03-02-2022,Network,Resolved,Yes,5
TKT-DOIBXIAQ,CUST-036438,APAC,India,31-07-2022,17-08-2022,Roaming,Resolved,Yes,3
TKT-MTP13SNS,CUST-008414,EU,Italy,25-08-2024,02-09-2024,Billing,Resolved,Yes,4
TKT-E3P1UZKJ,CUST-026768,EU,Italy,18-12-2022,31-12-2022,Network,Escalated,Yes,5
TKT-ZDON3SYE,CUST-009776,EU,Spain,17-07-2024,07-08-2024,Plan Change,Resolved,Yes,1
TKT-MI59D1MY,CUST-024188,NA,USA-West,17-02-2022,22-02-2022,Billing,Resolved,Yes,3
TKT-FAXA9T6N,CUST-038390,APAC,Singapore,04-02-2025,19-02-2025,Billing,No Issue Found,Yes,5
TKT-ORFTINR4,CUST-010437,APAC,India,03-05-2023,09-05-2023,Roaming,Escalated,Yes,5
TKT-R39NLK00,CUST-004786,EU,France,27-12-2022,,Billing,Resolved,No,5
TKT-EBJHKTAX,CUST-001510,NA,USA-West,08-12-2024,06-01-2025,International,No Issue Found,Yes,4
TKT-I9TDKM4F,CUST-027029,MEA,Egypt,17-01-2022,,Value Added Services,Resolved,No,4
TKT-FBUHMIVI,CUST-010144,EU,Spain,10-02-2022,,Billing,Resolved,No,4
TKT-4CE36D6U,CUST-012846,APAC,South Korea,08-08-2022,02-09-2022,Other,No Issue Found,Yes,2
TKT-RDR4HJ2O,CUST-034972,EU,Italy,17-11-2024,25-11-2024,Billing,Refund Issued,Yes,5
TKT-O945CQJR,CUST-002701,NA,Canada-East,30-06-2022,,Network,Resolved,No,4
TKT-MC7XCY6C,CUST-010558,LATAM,Brazil,18-12-2022,12-01-2023,Network,Resolved,Yes,5
TKT-IPFL70GE,CUST-032280,EU,UK,21-01-2025,07-02-2025,Plan Change,Resolved,Yes,4
TKT-OXF10TBF,CUST-019032,NA,USA-West,07-03-2025,21-03-2025,Billing,Plan Adjusted,Yes,5
TKT-0FIE9I43,CUST-026662,APAC,Japan,23-12-2023,07-01-2024,Value Added Services,Resolved,Yes,3
TKT-VXOCB80K,CUST-004557,NA,USA-West,10-06-2023,,Network,Resolved,No,3
TKT-R6ELG393,CUST-000433,NA,USA-East,01-12-2023,07-12-2023,Billing,Resolved,Yes,5
TKT-5NCUKRXZ,CUST-012113,APAC,Australia,14-10-2023,26-10-2023,Network,No Issue Found,Yes,3
TKT-WKFCNSXS,CUST-011330,APAC,Japan,20-02-2024,21-02-2024,Billing,Resolved,Yes,5
TKT-K5OAT478,CUST-014974,APAC,Australia,06-05-2023,22-05-2023,Device,Resolved,Yes,5
TKT-M3TSWW2L,CUST-017394,LATAM,Brazil,06-02-2022,,Network,Resolved,No,4
TKT-1LKU01J1,CUST-003948,NA,Canada-East,22-03-2025,29-03-2025,Billing,Resolved,Yes,2
TKT-RUD5DYQN,CUST-032595,APAC,India,22-02-2025,08-03-2025,Plan Change,Resolved,Yes,1
TKT-GYBYMARL,CUST-020555,EU,Italy,27-02-2023,06-03-2023,Network,Resolved,Yes,5
TKT-G5Y08R8A,CUST-036665,APAC,Australia,20-12-2022,26-12-2022,Network,Resolved,Yes,5
TKT-HKYCSBH8,CUST-004108,APAC,South Korea,12-09-2023,09-10-2023,Network,Technician Visit,Yes,5
TKT-VC8695JB,CUST-003816,NA,USA-East,10-02-2025,19-02-2025,Network,No Issue Found,Yes,1
TKT-SQUPDCUS,CUST-033037,EU,Spain,16-07-2025,06-08-2025,Roaming,Technician Visit,Yes,4
TKT-5NXE2YA1,CUST-034092,APAC,India,07-01-2023,05-02-2023,Network,Resolved,Yes,4
TKT-L0YWLIMS,CUST-030596,EU,France,02-01-2025,28-01-2025,Plan Change,Resolved,Yes,2
TKT-6N1ACP14,CUST-026170,EU,Spain,03-02-2023,19-02-2023,Billing,Resolved,Yes,4
TKT-LCZMMK9O,CUST-020882,NA,Canada-West,25-07-2022,13-08-2022,Value Added Services,Resolved,Yes,4
TKT-22FVJLJG,CUST-012132,APAC,Japan,25-04-2023,10-05-2023,Network,Refund Issued,Yes,5
TKT-MLWS545A,CUST-028919,APAC,Australia,08-05-2023,12-05-2023,Billing,Resolved,Yes,1
TKT-0AYVTEP3,CUST-014759,NA,USA-East,05-05-2023,16-05-2023,Billing,Refund Issued,Yes,2
TKT-GDDMLXUP,CUST-008049,LATAM,Brazil,16-01-2023,,Billing,Plan Adjusted,No,3
TKT-QI2G1DNM,CUST-013366,NA,Canada-East,11-05-2025,29-05-2025,Network,Technician Visit,Yes,5
TKT-IFIGU9CG,CUST-032248,NA,USA-East,24-06-2025,25-06-2025,Value Added Services,Resolved,Yes,4
TKT-NJL8CGFA,CUST-026045,EU,France,07-03-2022,16-03-2022,Other,No Issue Found,Yes,3
TKT-JLRU7X7Y,CUST-035667,EU,Germany,23-11-2024,05-12-2024,Network,No Issue Found,Yes,4
TKT-2K7GDUBI,CUST-029643,EU,Spain,12-01-2024,,Device,Resolved,No,4
TKT-72PWI9WE,CUST-001190,NA,USA-West,04-12-2024,04-12-2024,Network,Resolved,Yes,4
TKT-7AM5VWD8,CUST-023469,LATAM,Colombia,20-05-2024,,Device,Plan Adjusted,No,5
TKT-FO9FFZDR,CUST-012800,EU,Germany,26-06-2024,27-06-2024,Billing,Resolved,Yes,2
TKT-1WTKFOOK,CUST-034999,MEA,Egypt,05-02-2022,,Billing,Plan Adjusted,No,3
TKT-876MNWLY,CUST-027199,EU,UK,09-09-2023,01-10-2023,Roaming,Resolved,Yes,5
TKT-MQIJ1E94,CUST-013391,APAC,Japan,21-08-2024,08-09-2024,Billing,Refund Issued,Yes,5
TKT-K53ARXCM,CUST-004877,NA,USA-East,09-02-2025,25-02-2025,Network,Resolved,Yes,4
TKT-4K7M9QNZ,CUST-039059,APAC,India,09-01-2022,30-01-2022,Plan Change,Resolved,Yes,4
TKT-X3YB4NMK,CUST-001047,APAC,Australia,28-12-2024,26-01-2025,Device,Resolved,Yes,4
TKT-YS064AFE,CUST-033796,NA,Canada-West,25-02-2023,27-02-2023,Billing,Resolved,Yes,5
TKT-4YAZCC73,CUST-016156,EU,Spain,18-02-2022,02-03-2022,Network,Resolved,Yes,5
TKT-C9MZFSZX,CUST-026560,NA,Canada-West,15-08-2024,21-08-2024,International,No Issue Found,Yes,5
TKT-HCZVUOX4,CUST-032776,NA,Canada-East,17-10-2022,,Billing,Technician Visit,No,4
TKT-QPZIQTK1,CUST-029921,NA,USA-West,03-11-2022,,Plan Change,Resolved,No,4
TKT-ILK88J67,CUST-026066,LATAM,Colombia,14-07-2023,24-07-2023,Other,Resolved,Yes,3
TKT-HCIRBGQU,CUST-002038,APAC,South Korea,18-08-2024,14-09-2024,Device,Resolved,Yes,5
TKT-2NDM7KPG,CUST-008364,EU,Spain,19-04-2022,18-05-2022,Other,No Issue Found,Yes,4
TKT-V8SL83RL,CUST-011731,NA,USA-East,18-11-2022,11-12-2022,Device,Refund Issued,Yes,4
TKT-JT9R0H5I,CUST-023582,MEA,Saudi Arabia,25-05-2024,28-05-2024,Plan Change,Plan Adjusted,Yes,4
TKT-E0CJ70ZV,CUST-037806,APAC,Singapore,01-01-2023,03-01-2023,Billing,Refund Issued,Yes,4
TKT-B58V4TER,CUST-015710,NA,Canada-West,04-02-2022,26-02-2022,Value Added Services,Refund Issued,Yes,1
TKT-H8KECV7F,CUST-025441,EU,France,12-06-2025,30-06-2025,Value Added Services,Technician Visit,Yes,3
TKT-E76ELJ2U,CUST-039533,MEA,Egypt,25-08-2023,06-09-2023,Billing,Resolved,Yes,1
TKT-NMCOQAMI,CUST-021094,EU,France,08-01-2024,29-01-2024,Value Added Services,Resolved,Yes,5
TKT-X423DT5N,CUST-017409,APAC,India,10-05-2024,19-05-2024,Billing,Resolved,Yes,5
TKT-KQTDJXGU,CUST-007291,NA,Canada-East,12-03-2024,24-03-2024,Billing,No Issue Found,Yes,5
TKT-GV8813JM,CUST-039176,NA,USA-West,07-10-2022,05-11-2022,International,Plan Adjusted,Yes,3
TKT-7GBV768H,CUST-013733,MEA,Saudi Arabia,15-01-2022,28-01-2022,Billing,Technician Visit,Yes,5
TKT-YNDTQVE3,CUST-020954,NA,Canada-West,09-12-2022,23-12-2022,Roaming,Resolved,Yes,2
TKT-4WLSTTOL,CUST-021151,NA,USA-East,03-07-2023,27-07-2023,Plan Change,Escalated,Yes,5
TKT-YEV8SBNK,CUST-014353,APAC,South Korea,09-08-2024,24-08-2024,Billing,Resolved,Yes,3
TKT-JKHNVHFS,CUST-017887,EU,Spain,12-05-2023,03-06-2023,Billing,Resolved,Yes,4
TKT-OPB0OJ42,CUST-023963,EU,Spain,18-11-2024,01-12-2024,Plan Change,Resolved,Yes,5
TKT-D0PUFTCP,CUST-032669,APAC,South Korea,24-03-2022,,Network,Technician Visit,No,4
TKT-KVJV1TLU,CUST-028883,LATAM,Colombia,08-06-2022,,Network,Plan Adjusted,No,5
TKT-RVWDU852,CUST-029633,LATAM,Argentina,13-07-2024,20-07-2024,Billing,Resolved,Yes,3
TKT-H1L3KK1Q,CUST-028680,APAC,Australia,02-12-2024,04-12-2024,Plan Change,Technician Visit,Yes,1
TKT-GTR6TDZQ,CUST-020153,APAC,India,04-10-2024,11-10-2024,Network,Resolved,Yes,3
TKT-A50PSJJ7,CUST-019858,LATAM,Mexico,21-12-2024,,Other,Technician Visit,No,5
TKT-0PBKGJL7,CUST-036707,EU,UK,23-12-2023,13-01-2024,Network,Resolved,Yes,4
TKT-811XSZ0O,CUST-029449,APAC,India,23-05-2024,03-06-2024,Device,No Issue Found,Yes,5
TKT-SE9PO71U,CUST-018883,NA,Canada-West,03-12-2022,30-12-2022,Billing,Resolved,Yes,3
TKT-GHEPD6YA,CUST-011290,NA,USA-East,10-04-2022,27-04-2022,Network,Resolved,Yes,4
TKT-8AYI0WZ0,CUST-035720,NA,Canada-East,05-05-2022,23-05-2022,Network,Resolved,Yes,4
TKT-Q30CSGJ7,CUST-021443,NA,Canada-East,15-09-2024,14-10-2024,Device,Resolved,Yes,1
TKT-QQAH7W59,CUST-004746,APAC,Australia,25-01-2022,22-02-2022,Billing,Resolved,Yes,3
TKT-M3MKZPAR,CUST-010198,NA,Canada-West,11-03-2022,20-03-2022,Billing,Technician Visit,Yes,2
TKT-29JS2FLS,CUST-013764,MEA,Egypt,17-12-2024,15-01-2025,Network,Escalated,Yes,3
TKT-P8KLWM8X,CUST-007001,APAC,Singapore,30-05-2024,01-06-2024,Network,Resolved,Yes,1
TKT-7O6JWJWZ,CUST-002050,APAC,Australia,31-07-2023,28-08-2023,Network,Resolved,Yes,5
TKT-L3XAFGMF,CUST-032913,EU,Spain,17-10-2022,23-10-2022,Roaming,Escalated,Yes,2
TKT-LNZFR9N8,CUST-002571,EU,UK,20-01-2025,29-01-2025,Billing,Resolved,Yes,4
TKT-I8A7AYVS,CUST-003852,APAC,South Korea,20-06-2023,07-07-2023,Billing,Escalated,Yes,5
TKT-8O32TI15,CUST-029323,APAC,Singapore,29-04-2022,09-05-2022,Other,Resolved,Yes,1
TKT-H4QUWSSZ,CUST-036812,APAC,India,31-10-2023,,Network,Resolved,No,5
TKT-1THII64L,CUST-001925,LATAM,Colombia,04-06-2023,03-07-2023,Roaming,Plan Adjusted,Yes,2
TKT-OOQ9EKPJ,CUST-030731,APAC,India,15-06-2023,,Billing,Resolved,No,3
TKT-ZYHZD5ZJ,CUST-026504,EU,UK,14-10-2022,10-11-2022,International,Plan Adjusted,Yes,5
TKT-7305HRA7,CUST-026753,EU,Germany,10-09-2022,06-10-2022,Network,Resolved,Yes,4
TKT-DQPPL9SB,CUST-011838,LATAM,Brazil,17-03-2022,21-03-2022,Network,Resolved,Yes,5
TKT-F4UUHV9I,CUST-022422,MEA,Kenya,27-12-2023,30-12-2023,Value Added Services,Plan Adjusted,Yes,5
TKT-DNHGIVW7,CUST-006517,LATAM,Mexico,07-01-2025,08-01-2025,Billing,Resolved,Yes,2
TKT-3BVTN0WL,CUST-038980,MEA,Kenya,07-05-2025,30-05-2025,Billing,Resolved,Yes,2
TKT-1HD6E1NU,CUST-034055,LATAM,Mexico,18-09-2024,04-10-2024,Billing,Technician Visit,Yes,3
TKT-7HYK3TD0,CUST-022303,EU,Italy,23-05-2022,10-06-2022,International,Resolved,Yes,5
TKT-D516WICF,CUST-020869,LATAM,Argentina,31-08-2022,19-09-2022,Device,Resolved,Yes,4
TKT-CKB4HNMO,CUST-001280,EU,UK,20-07-2023,30-07-2023,Other,Refund Issued,Yes,3
TKT-4BATTZ5A,CUST-030801,NA,USA-West,25-10-2023,,Other,Escalated,No,5
TKT-4A4XVA65,CUST-033873,NA,USA-East,10-01-2024,25-01-2024,Network,Resolved,Yes,5
TKT-P8F67H6C,CUST-002450,EU,Spain,01-01-2024,06-01-2024,Plan Change,Escalated,Yes,3
TKT-HDQRKJPT,CUST-020234,NA,USA-East,23-04-2025,08-05-2025,Billing,No Issue Found,Yes,5
TKT-BHE3BH1P,CUST-023915,APAC,Singapore,29-10-2023,09-11-2023,Network,Escalated,Yes,2
TKT-JH12Y03Y,CUST-025292,APAC,South Korea,01-10-2023,14-10-2023,Roaming,Resolved,Yes,4
TKT-31J8UV4U,CUST-034471,LATAM,Mexico,02-03-2024,,Device,Resolved,No,4
TKT-OG0LVLRW,CUST-031310,EU,Italy,27-11-2024,24-12-2024,International,Resolved,Yes,3
TKT-49I37CXD,CUST-022513,MEA,Kenya,18-07-2022,09-08-2022,Billing,Resolved,Yes,5
TKT-3ANAQMDT,CUST-020116,NA,USA-East,25-10-2023,20-11-2023,Other,Refund Issued,Yes,4
TKT-MP5B4I9C,CUST-009264,NA,USA-East,18-03-2024,19-03-2024,Network,Refund Issued,Yes,3
TKT-XYBVMKAR,CUST-014948,EU,Italy,17-11-2024,04-12-2024,Roaming,Resolved,Yes,3
TKT-9YZ0PN85,CUST-007995,APAC,Japan,18-02-2025,18-02-2025,International,Refund Issued,Yes,5
TKT-T3MCUBBL,CUST-033437,EU,Italy,23-04-2023,,Plan Change,Resolved,No,3
TKT-E72T8C9E,CUST-000719,APAC,Japan,10-04-2024,01-05-2024,Network,Plan Adjusted,Yes,3
TKT-FPXNR6AG,CUST-007236,EU,Germany,22-10-2024,31-10-2024,Network,Plan Adjusted,Yes,2
TKT-NF8D6XF7,CUST-029078,EU,France,12-08-2022,14-08-2022,Network,Resolved,Yes,3
TKT-O4A6FSRM,CUST-002382,LATAM,Chile,07-07-2025,31-07-2025,Value Added Services,Resolved,Yes,5
TKT-N5EMS1WK,CUST-012743,EU,UK,21-11-2023,21-11-2023,Network,Refund Issued,Yes,3
TKT-IFU8CPJ7,CUST-022372,MEA,Saudi Arabia,20-10-2024,18-11-2024,Value Added Services,Resolved,Yes,4
TKT-5OKGBZQ8,CUST-017341,NA,USA-East,16-10-2022,10-11-2022,Device,Refund Issued,Yes,4
TKT-DJQ4NR5T,CUST-022996,APAC,India,19-08-2022,,Network,No Issue Found,No,3
TKT-2HLTFLVD,CUST-006155,APAC,South Korea,04-06-2025,01-07-2025,International,Technician Visit,Yes,4
TKT-WPFO8VNF,CUST-004443,APAC,India,22-12-2024,,Network,Resolved,No,4
TKT-N0WZ0YWP,CUST-011927,APAC,South Korea,14-05-2024,09-06-2024,Plan Change,Resolved,Yes,2
TKT-USHZHSYG,CUST-004050,APAC,Singapore,22-05-2023,05-06-2023,Billing,Resolved,Yes,4
TKT-REJTDXFT,CUST-030811,NA,Canada-East,09-06-2022,10-06-2022,International,Resolved,Yes,1
TKT-PZUK1ZCE,CUST-027523,APAC,Australia,18-10-2022,25-10-2022,Billing,Resolved,Yes,3
TKT-ECEE1JR4,CUST-033562,LATAM,Argentina,18-08-2022,01-09-2022,Billing,Resolved,Yes,5
TKT-4HAJ3IZI,CUST-003403,MEA,Saudi Arabia,11-06-2024,23-06-2024,Billing,Resolved,Yes,5
TKT-VFGAQTVZ,CUST-032220,APAC,Singapore,28-02-2024,23-03-2024,Billing,Technician Visit,Yes,5
TKT-730TGES0,CUST-026784,APAC,Australia,14-06-2022,25-06-2022,Roaming,Resolved,Yes,4
TKT-QSVIGS59,CUST-010872,NA,Canada-West,05-07-2022,,Network,Resolved,No,5
TKT-KOMFCPHC,CUST-007888,EU,UK,06-04-2022,22-04-2022,Network,Refund Issued,Yes,4
TKT-VI73BZSD,CUST-006662,EU,France,10-04-2023,22-04-2023,Roaming,Escalated,Yes,1
TKT-TOFAY3VB,CUST-013354,NA,Canada-East,31-03-2024,21-04-2024,Network,Technician Visit,Yes,5
TKT-RIBMLX1H,CUST-013326,APAC,Japan,28-02-2023,16-03-2023,Network,Resolved,Yes,2
TKT-6Y7VJXIC,CUST-020943,LATAM,Brazil,24-02-2022,15-03-2022,Value Added Services,Resolved,Yes,5
TKT-9JYAT4T2,CUST-017522,NA,Canada-East,22-10-2024,06-11-2024,Value Added Services,Technician Visit,Yes,3
TKT-99K5XYUO,CUST-031563,APAC,India,17-02-2025,14-03-2025,Other,Plan Adjusted,Yes,3
TKT-FM6KSBFM,CUST-033613,EU,France,23-01-2022,04-02-2022,Other,Resolved,Yes,4
TKT-BQB0AUWC,CUST-012105,EU,Italy,08-05-2024,15-05-2024,Roaming,Escalated,Yes,2
TKT-KZ8HIDX2,CUST-006855,APAC,Japan,17-01-2022,18-01-2022,Network,Resolved,Yes,5
TKT-FYZG5BBQ,CUST-017610,EU,Germany,08-10-2022,09-10-2022,Network,Resolved,Yes,4
TKT-TESSS7CD,CUST-018490,EU,UK,26-03-2022,17-04-2022,Plan Change,Plan Adjusted,Yes,4
TKT-XSTHXFHY,CUST-038726,LATAM,Chile,29-01-2023,03-02-2023,Device,No Issue Found,Yes,3
TKT-UR6PZFD9,CUST-020957,NA,USA-West,05-07-2024,29-07-2024,Billing,Resolved,Yes,5
TKT-2N21GB80,CUST-027787,APAC,Singapore,01-06-2022,07-06-2022,Network,Resolved,Yes,3
TKT-F0NPD6P8,CUST-039900,MEA,Kenya,26-09-2023,21-10-2023,International,Technician Visit,Yes,2
